School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
Haslett High School,Haslett,Michigan,Ingham,Lansing,42.739045,-84.406376,37,14,0.38,8,0.57,873,1260,28,7,No,19220,65458,0.21,0.76,0.06,0.09,0.04,0.00,0.00,0.05,Public,,1.00
Divine Child High School,Dearborn,Michigan,Wayne,Detroit,42.3186808,-83.283265,37,12,0.32,8,0.67,855,1230,28,18,No,,,,0.81,0.02,0.05,0.04,0.00,0.02,0.05,Private Religious,,1.00
Plainview-Old Bethpage Jfk Hs,Plainview,New York,Nassau,New York,40.7827664,-73.45954,37,13,0.35,8,0.62,1535,1269,26.9,27,No,26217,143534,0.10,0.74,0.00,0.05,0.21,0.00,0.00,0.01,Public,,1.00
Calabasas High School,Calabasas,California,Los Angeles,Los Angeles,34.139039,-118.627738,37,10,0.27,6,0.60,2005,,,16,No,23853,119926,0.12,0.78,0.04,0.09,0.06,0.00,0.00,0.02,Public,,1.00
Milford High School,Highland,Michigan,Oakland,Detroit,42.617976,-83.622489,37,11,0.30,6,0.55,1367,1190,27,13,No,16905,80726,0.22,0.92,0.01,0.03,0.02,0.00,0.00,0.02,Public,,1.00
Howell High School,Howell,Michigan,Livingston,Detroit,42.614725,-83.952853,37,7,0.19,5,0.71,2200,1150,26,16,No,9597,45760,0.22,0.93,0.01,0.03,0.01,0.01,0.00,0.01,Public,,1.00
Berkeley High School,Berkeley,California,Alameda,San Francisco,37.867678,-122.271503,37,8,0.22,4,0.50,3154,,24.75,23,Yes,121363,80912,0.26,0.42,0.14,0.22,0.09,0.00,0.00,0.13,Public,,1.00
Cherry Hill High School East,Cherry Hill,New Jersey,Camden,Philadelphia,39.8764594,-74.964009,37,6,0.16,3,0.50,2196,1280,28,23,No,6346,72232,0.12,0.61,0.06,0.06,0.24,0.00,0.00,0.03,Public,,1.00
Zionsville Community Hs,Zionsville,Indiana,Boone,Indianapolis,39.961844,-86.273887,37,7,0.19,2,0.29,2065,1270,29,18,No,28357,132409,0.07,0.84,0.02,0.05,0.05,0.00,0.00,0.04,Public,,1.00
Darien High School,Darien,Connecticut,Fairfield,New York,41.0850166,-73.490628,37,5,0.14,2,0.40,1417,1310,30,24,No,21759,210511,0.03,0.87,0.01,0.05,0.05,0.00,0.00,0.01,Public,,1.00
Palos Verdes High School,Palos Verdes Estates,California,Los Angeles,Los Angeles,33.781603,-118.41933,37,9,0.24,2,0.22,1682,1227,26,30,No,13273,175000,0.05,0.61,0.02,0.13,0.16,0.00,0.00,0.08,Public,,1.00
Choate Rosemary Hall,Wallingford,Connecticut,New Haven,New Haven,41.4585582,-72.81158,37,5,0.14,1,0.20,850,1397,31.6,30,No,,,,0.54,0.09,0.06,0.22,0.00,0.00,0.08,Private Boarding,,1.00
James B Conant High School,Hoffman Estates,Illinois,Cook,Chicago,42.0373274,-88.062762,37,3,0.08,1,0.33,2334,1104,,32,No,50932,89666,0.28,0.47,0.04,0.17,0.28,0.00,0.00,0.03,Public,,1.00
McLean High School,McLean,Virginia,Fairfax,"Washington, D.C.",38.923565,-77.185227,37,5,0.14,0,0.00,2275,1340,30,24,No,48115,201570,0.08,0.55,0.03,0.11,0.24,0.00,0.00,0.05,Public,,1.00
Heritage High School,Saginaw,Michigan,Saginaw,Saginaw,43.456315,-84.015642,36,16,0.44,13,0.81,1479,1160,26,13,Yes,48115,29885,0.38,0.61,0.18,0.11,0.06,0.00,0.00,0.03,Public,,1.00
Hudsonville High School,Hudsonville,Michigan,Ottawa,Grand Rapids,42.861101,-85.861864,36,8,0.22,6,0.75,1378,1190,26,14,No,7348,62500,0.18,0.88,0.02,0.05,0.02,0.00,0.00,0.02,Public,,1.00
Westford Academy,Westford,Massachusetts,Middlesex,Boston,42.5760276,-71.463758,36,8,0.22,3,0.38,1724,1310,31,18,No,24194,141173,,0.71,0.01,0.02,0.23,0.00,0.00,0.04,Public,,1.00
Fenwick High School,Oak Park,Illinois,Cook,Chicago,41.8813784,-87.788491,36,5,0.14,3,0.60,1196,1230,29,0,No,,,,0.70,0.06,0.17,0.02,0.00,0.00,0.04,Private Religious,,1.00
Kent School,Kent,Connecticut,Litchfield,Torrington,41.726828,-73.48278,36,7,0.19,1,0.14,590,,,28,No,,,,,,,,,,,Private Secular,,0.00
Arnold O Beckman High School,Irvine,California,Orange,Los Angeles,33.717504,-117.782465,36,9,0.25,1,0.11,3031,1300,30.3,24,No,287401,100969,0.23,0.30,0.02,0.22,0.42,0.00,0.00,0.04,Public,,1.00
Bellarmine College Preparatory,San Jose,California,Santa Clara,San Jose,37.3427659,-121.91811,36,7,0.19,1,0.14,1655,1346,30,22,No,,,,,,,,,,,Private Religious,Scores for Class of 2020,0.00
Buckingham Browne & Nichols Sc,Cambridge,Massachusetts,Middlesex,Boston,42.370647,-71.135685,36,7,0.19,0,0.00,531,1395,32,16,No,,,,,,,,,,,Private Secular,Stats for Class of 2020,0.00
Irvington High School,Fremont,California,Alameda,San Francisco,37.5248864,-121.96684,36,4,0.11,0,0.00,2294,1380,32,19,No,233083,127374,0.17,0.11,0.01,0.09,0.76,0.00,0.00,0.02,Public,,1.00
Gulliver Preparatory School,Miami,Florida,Miami-Dade,Miami,25.7169147,-80.325351,36,15,0.42,0,0.00,768,1320,29,0,No,,,,0.46,0.04,0.45,0.04,0.01,0.01,0.00,Private Secular,,1.00
Evergreen Valley High School,San Jose,California,Santa Clara,San Jose,37.322793,-121.77905,36,3,0.08,0,0.00,2961,1330,31,23,No,67820,144266,0.16,0.04,0.01,0.14,0.78,0.00,0.00,0.03,Public,,1.00
