School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
Acton-Boxborough Regional Hs,Acton,Massachusetts,Middlesex,Boston,42.4798302,-71.458313,53,3,0.06,1,0.33,1837,1359,30,14,No,29455,123058.5,0.00,0.57,0.02,0.04,0.32,0.00,0.00,0.05,Public,,1.00
Washtenaw Tech Middle College,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.26697,-83.668179,52,20,0.38,17,0.85,754,1185,,0,No,367601,69434,0.27,0.75,0.11,0.01,0.05,0.00,0.00,0.07,Public,,1.00
Brookline High School,Brookline,Massachusetts,Norfolk,Boston,42.3333283,-71.129179,52,14,0.27,6,0.43,2101,1286,,18,No,59121,113515,0.00,0.56,0.07,0.12,0.16,0.00,0.00,0.09,Public,,1.00
John Jay High School,Cross River,New York,Westchester,New York,41.273637,-73.610805,52,23,0.44,6,0.26,1049,1246,21,22,No,12522,159808,0.06,0.83,0.00,0.09,0.03,0.00,0.00,0.05,Public,,1.00
Watchung Hills Regional Hs,Warren,New Jersey,Somerset,New York,40.6524725,-74.475244,52,9,0.17,5,0.56,1982,1229,26.3,24,No,30061,153632.67,0.01,0.63,0.03,0.11,0.18,0.00,0.00,0.04,Public,,1.00
Edgemont High School,Scarsdale,New York,Westchester,New York,41.001482,-73.807742,52,12,0.23,4,0.33,966,1370,32,16,No,7336,222115,0.00,0.52,0.01,0.07,0.34,0.00,0.00,0.05,Public,,1.00
Newton South High School,Newton Centre,Massachusetts,Middlesex,Boston,42.312324,-71.189013,52,11,0.21,4,0.36,1911,1328,27.5,21,No,88414,139696,0.00,0.61,0.06,0.06,0.22,0.00,0.00,0.05,Public,,1.00
Paul D Schreiber Senior High,Port Washington,New York,Nassau,New York,40.8300389,-73.678755,52,14,0.27,3,0.21,1608,1290,29,27,No,15846,127813,0.22,0.65,0.03,0.20,0.11,0.00,0.00,0.01,Public,,1.00
Great Neck South High School,Lake Success,New York,Nassau,New York,40.7626473,-73.703989,52,13,0.25,2,0.15,1222,1298,27.5,30,No,40000,94153,0.20,0.30,0.01,0.08,0.59,0.00,0.00,0.02,Public,,1.00
City High / Middle School,Grand Rapids,Michigan,Kent,Grand Rapids,42.9933687,-85.658626,51,23,0.45,22,0.96,917,1260,28,13,Yes,201013,47173,0.36,0.46,0.10,0.28,0.07,0.00,0.00,0.09,Public,,1.00
Traverse City Central Hs,Traverse City,Michigan,Grand Traverse,Traverse City,44.7676561,-85.587381,51,20,0.39,15,0.75,1426,1084,,10,No,15738,53871,0.27,0.89,0.01,0.04,0.02,0.02,0.00,0.02,Public,,1.00
International Academy Macomb,Clinton Township,Michigan,Macomb,Detroit,42.6115973,-82.934198,51,20,0.39,15,0.75,491,1256,,0,Yes,100471,54587,0.20,0.65,0.06,0.03,0.22,0.00,0.00,0.04,Public,,1.00
Mercer Island High School,Mercer Island,Washington,King,Seattle,47.5718919,-122.21931,51,13,0.25,6,0.46,1552,1350,30,37,No,25894,142413,0.04,0.68,0.01,0.04,0.20,0.00,0.00,0.07,Public,,1.00
Kalamazoo Central High School,Kalamazoo,Michigan,Kalamazoo,Kalamazoo,42.3142546,-85.645787,51,9,0.18,5,0.56,1675,933,,6,No,76200,40292,0.67,0.33,0.45,0.12,0.02,0.00,0.00,0.08,Public,,1.00
Basis Independent Silicon Vly,San Jose,California,Santa Clara,San Jose,37.3161597,-121.91007,51,13,0.25,5,0.38,804,1520,34,0,No,,,,0.08,0.00,0.00,0.86,0.00,0.00,0.04,Private Secular,,1.00
Archbishop Mitty High School,San Jose,California,Santa Clara,San Jose,37.3145467,-121.99381,51,4,0.08,0,0.00,1752,1313,28.3,22,No,,,,,,,,,,,Private Religious,Demographics Not Reported,0.00
Brother Rice High School,Bloomfield Twp,Michigan,Oakland,Detroit,42.587472,-83.265477,50,17,0.34,13,0.76,587,1250,28,0,No,,,,0.85,0.06,0.04,0.04,0.00,0.00,0.00,Private Religious,,1.00
Mamaroneck High School,Mamaroneck,New York,Westchester,New York,40.9410991,-73.743802,50,28,0.56,12,0.43,1616,1259,28.4,19,No,29495,125444,0.18,0.71,0.03,0.19,0.04,0.00,0.00,0.02,Public,,1.00
Hartland High School,Hartland,Michigan,Livingston,Detroit,42.6495497,-83.747093,50,14,0.28,9,0.64,1935,1082,,16,No,15170,90000,0.15,0.94,0.01,0.03,0.01,0.00,0.00,0.01,Public,,1.00
Bethesda Chevy Chase Hs,Bethesda,Maryland,Montgomery,"Washington, D.C.",38.9864508,-77.089104,50,12,0.24,6,0.50,2124,1290,29,23,Yes,70403,170174,0.10,0.59,0.14,0.17,0.05,0.00,0.00,0.05,Public,,1.00
Riverdale Country School,Bronx,New York,Bronx,New York,40.8980853,-73.914045,50,16,0.32,6,0.38,1152,1440,33,0,No,,,,0.66,0.05,0.07,0.10,0.00,0.00,0.12,Private Secular,,1.00
Westfield High School,Westfield,New Jersey,Union,New York,40.6444761,-74.348765,50,8,0.16,4,0.50,1865,1243,26,18,No,29512,168721,0.03,0.83,0.03,0.06,0.08,0.00,0.00,0.01,Public,,1.00
Santa Margarita Catholic Hs,Rancho Santa Margarita,California,Orange,Los Angeles,33.6435921,-117.58043,50,11,0.22,4,0.36,1724,1274,27.2,21,Yes,,,,0.66,0.01,0.10,0.12,0.00,0.01,0.10,Private Religious,Stats for Class of 2020,1.00
Lawrenceville School,Lawrenceville,New Jersey,Mercer,Trenton,40.2973978,-74.72335,50,10,0.20,1,0.10,817,1490,33,0,No,,,,0.55,0.10,0.06,0.21,0.00,0.00,0.08,Private Boarding,Median Scores,1.00
Dublin Jerome High School,Dublin,Ohio,Franklin,Columbus,40.1349841,-83.175899,50,10,0.20,0,0.00,1794,1370,30,22,Yes,49037,135514,0.01,0.69,0.01,0.02,0.23,0.00,0.00,0.04,Public,,1.00
Solon High School,Solon,Ohio,Cuyahoga,Cleveland,41.3765368,-81.440758,49,13,0.27,6,0.46,1600,1293,24.9,31,No,22779,104625,0.11,0.58,0.17,0.03,0.17,0.00,0.00,0.05,Public,,1.00
Langley High School,McLean,Virginia,Fairfax,"Washington, D.C.",38.9498924,-77.166162,49,8,0.16,3,0.38,1943,1330,28.3,32,No,48115,201570,0.02,0.63,0.02,0.05,0.25,0.00,0.00,0.06,Public,,1.00
Poolesville High School,Poolesville,Maryland,Montgomery,"Washington, D.C.",39.14234,-77.417693,49,12,0.24,3,0.25,1185,1311,28,27,No,5244,170093,0.07,0.49,0.06,0.08,0.31,0.00,0.00,0.06,Public,,1.00
Waubonsie Valley High School,Aurora,Illinois,DuPage,Chicago,41.7407868,-88.252527,49,4,0.08,2,0.50,2593,1119,,25,No,197757,69730,0.21,0.46,0.12,0.17,0.20,0.00,0.00,0.05,Public,,1.00
Needham High School,Needham,Massachusetts,Norfolk,Boston,42.2868831,-71.231611,49,6,0.12,1,0.17,1718,1243,27.5,21,No,31388,153032,0.00,0.80,0.03,0.05,0.09,0.00,0.00,0.04,Public,,1.00
Los Gatos High School,Los Gatos,California,Santa Clara,San Jose,37.2233806,-121.97664,48,14,0.29,5,0.36,2138,1271,27.3,21,No,30222,140395,0.05,0.63,0.00,0.11,0.13,0.00,0.00,0.12,Public,,1.00
Father Gabriel Richard Hs,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.3139678,-83.676429,47,17,0.36,13,0.76,560,1330,29,0,No,,,,0.82,0.03,0.08,0.03,0.00,0.00,0.04,Private Religious,,1.00
Midland High School,Midland,Michigan,Midland,Midland,43.6208101,-84.213338,47,15,0.32,10,0.67,1312,1084,22,20,Yes,41701,61076,0.35,0.90,0.03,0.03,0.01,0.00,0.00,0.03,Public,,1.00
Libertyville High School,Libertyville,Illinois,Lake,Chicago,42.2844674,-87.966464,47,13,0.28,5,0.38,1857,1211,25.9,26,No,20205,130732,0.05,0.81,0.02,0.07,0.09,0.00,0.00,0.01,Public,,1.00
Redwood High School,Larkspur,California,Marin,San Francisco,37.936895,-122.52532,47,9,0.19,5,0.56,1928,1297,28,18,No,12254,101754,0.08,0.71,0.01,0.14,0.06,0.00,0.01,0.06,Public,,1.00
Harriton High School,Bryn Mawr,Pennsylvania,Montgomery,Philadelphia,40.0422656,-75.31654,47,5,0.11,5,1.00,1210,1300,30,22,Yes,58735,131556,0.10,0.76,0.06,0.05,0.09,0.00,0.00,0.03,Public,,1.00
Staten Island Technical Hs,Staten Island,New York,Richmond,New York,40.5680556,-74.116111,47,8,0.17,5,0.63,1332,1420,32,17,No,8336817,60762,0.42,0.42,0.01,0.02,0.50,0.00,0.00,0.05,Public,,1.00
Illinois Math & Science Acad,Aurora,Illinois,DuPage,Chicago,41.7869841,-88.354722,47,14,0.30,3,0.21,644,1445,31.9,0,No,,,0.00,0.33,0.09,0.08,0.41,0.00,0.00,0.09,Public Magnet,,1.00
Loyola High School,Los Angeles,California,Los Angeles,Los Angeles,33.989805,-118.46101,47,12,0.26,3,0.25,1242,1330,30,0,No,,,,0.81,0.02,0.07,0.09,0.00,0.00,0.01,Private Religious,,1.00
Sidwell Friends School,Washington,"Washington, D.C.",None,"Washington, D.C.",38.9404123,-77.074262,47,16,0.34,3,0.19,1126,1430,33,0,No,,,,0.50,0.14,0.06,0.12,0.00,0.00,0.18,Private Secular,,1.00
Orange County Sch Of The Arts,Santa Ana,California,Orange,Los Angeles,33.6916721,-117.86767,47,10,0.21,2,0.20,2177,1248,27.4,26,No,,,0.12,0.41,0.01,0.21,0.23,0.00,0.00,0.15,Public Charter,Enrollment for 7-12,1.00
Brentwood School,Los Angeles,California,Los Angeles,Los Angeles,34.066561,-118.47025,47,12,0.26,2,0.17,996,1370,32,0,No,,,,0.70,0.07,0.09,0.09,0.01,0.00,0.04,Private Secular,,1.00
Marian High School,Bloomfield Twp,Michigan,Oakland,Detroit,42.587472,-83.265477,46,20,0.43,13,0.65,470,1371,26,16,No,,,,0.90,0.03,0.01,0.02,0.00,0.01,0.03,Private Religious,,1.00
Farmington High School,Farmington,Michigan,Oakland,Detroit,42.464002,-83.361209,46,16,0.35,13,0.81,1165,1066.6,,20,Yes,91103,76046.5,0.23,0.58,0.24,0.04,0.11,0.00,0.00,0.04,Public,SAT; Stats for Farmington and Farmington Hills,1.00
Latin School Of Chicago,Chicago,Illinois,Cook,Chicago,41.9108976,-87.630944,46,24,0.52,13,0.54,1088,1370,31,0,No,,,,0.68,0.06,0.06,0.11,0.00,0.00,0.10,Private Secular,,1.00
Oxford High School,Oxford,Michigan,Oakland,Detroit,42.838154,-83.261477,46,14,0.30,11,0.79,1603,1032,,18,Yes,22886,78435,0.25,0.81,0.04,0.10,0.02,0.00,0.00,0.03,Public,,1.00
De La Salle Collegiate Hs,Warren,Michigan,Macomb,Detroit,42.5143504,-82.97585,46,9,0.20,7,0.78,735,1230,26,0,No,,,,0.83,0.07,0.02,0.03,0.01,0.00,0.04,Private Religious,,1.00
Windward School,Los Angeles,California,Los Angeles,Los Angeles,34.0175,-118.42639,46,16,0.35,5,0.31,550,1370,32,0,No,,,,0.68,0.07,0.03,0.00,0.00,0.03,0.19,Private Secular,,1.00
Newton North High School,Newtonville,Massachusetts,Middlesex,Boston,42.3455776,-71.208544,46,8,0.17,2,0.25,2124,1266,27.5,17,No,88414,139696,0.00,0.63,0.06,0.09,0.15,0.00,0.00,0.06,Public,,1.00
Glenbard West High School,Glen Ellyn,Illinois,DuPage,Chicago,41.8794001,-88.060571,46,8,0.17,2,0.25,2344,1093,,31,No,27714,110669,0.23,0.61,0.04,0.17,0.14,0.00,0.00,0.03,Public,,1.00
Westlake High School,Thousand Oaks,California,Ventura,Oxnard,34.1501944,-118.81865,46,4,0.09,0,0.00,2280,1267,26.5,24,No,32729,83434,0.20,0.53,0.02,0.24,0.14,0.00,0.01,0.06,Public,,1.00
Westlake High School,Austin,Texas,Travis,Austin,30.2735935,-97.814348,46,4,0.09,0,0.00,2772,1350,30,28,No,978908,67462,0.03,0.69,0.01,0.13,0.13,0.00,0.00,0.04,Public,,1.00
Crestwood High School,Dearborn Heights,Michigan,Wayne,Detroit,42.3216855,-83.294289,45,23,0.51,20,0.87,1404,1020,,16,No,55353,49405,0.75,0.91,0.06,0.02,0.01,0.00,0.00,0.01,Public,,1.00
Forest Hills Eastern Hs,Ada,Michigan,Kent,Grand Rapids,43.0050849,-85.525882,45,25,0.56,19,0.76,789,1250,28,18,No,14832,125432,0.11,0.82,0.03,0.03,0.08,0.00,0.00,0.04,Public,,1.00
Chelsea High School,Chelsea,Michigan,Washtenaw,Ann Arbor,42.3111507,-84.002505,45,21,0.47,16,0.76,846,1132,,11,No,5416,78958,0.14,0.90,0.00,0.04,0.02,0.00,0.00,0.04,Public,,1.00
East Kentwood High School,Kentwood,Michigan,Kent,Grand Rapids,42.8517487,-85.619315,45,10,0.22,9,0.90,1981,945,,20,No,48707,52516,0.65,0.31,0.33,0.14,0.16,0.00,0.00,0.06,Public,,1.00
Michigan Home Schools,Ann Arbor,Michigan,Washtenaw,Ann Arbor,0,0,45,13,0.29,7,0.54,,,,,,,,,,,,,,,,Private Secular,,0.00
Burlingame High School,Burlingame,California,San Mateo,San Francisco,37.5831171,-122.34765,45,4,0.09,3,0.75,1492,1232,27.4,18,No,30889,122999,0.12,0.03,0.01,0.17,0.24,0.00,0.00,0.54,Public,,1.00
Monte Vista High School,Danville,California,Contra Costa,San Francisco,37.8427252,-121.9823,45,6,0.13,1,0.17,2448,1218,26.9,28,No,44510,152714,0.04,0.59,0.01,0.09,0.23,0.00,0.00,0.09,Public,,1.00
Saint Joseph High School,Saint Joseph,Michigan,Berrien,Niles,42.0897222,-86.491667,44,25,0.57,20,0.80,1047,1081,,13,No,8317,60118,0.29,0.80,0.08,0.04,0.05,0.01,0.00,0.02,Public,,1.00
Half Hollow Hills Hs East,Dix Hills,New York,Suffolk,New York,40.80306,-73.35861,44,16,0.36,9,0.56,1702,1212,26.3,29,No,26892,156603,0.18,0.60,0.11,0.10,0.16,0.00,0.00,0.03,Public,,1.00
Rye High School,Rye,New York,Westchester,New York,40.9731712,-73.68653,44,19,0.43,7,0.37,1001,1245,27.4,17,No,15695,180958,0.02,0.83,0.01,0.08,0.06,0.00,0.00,0.02,Public,,1.00
Corona Del Mar High School,Newport Beach,California,Orange,Los Angeles,33.6343649,-117.87842,44,8,0.18,3,0.38,2454,1237,27.4,29,No,84534,122709,0.09,0.76,0.01,0.09,0.10,0.00,0.00,0.03,Public,,1.00
West Morris Mendham Hs,Mendham,New Jersey,Morris,New York,40.7777808,-74.591252,44,5,0.11,2,0.40,1222,1249,27,19,Yes,5869,182022,0.01,0.83,0.01,0.07,0.05,0.00,0.00,0.04,Public,,1.00
Jackson High School,Jackson,Michigan,Jackson,Jackson,42.2509088,-84.41808,43,14,0.33,9,0.64,1223,965,,15,No,32440,33404,0.52,0.53,0.32,0.05,0.03,0.00,0.00,0.07,Public,,1.00
Santa Monica High School,Santa Monica,California,Los Angeles,Los Angeles,34.0119569,-118.48666,43,10,0.23,6,0.60,2857,1214,25.9,21,No,90401,93865,0.27,0.40,0.08,0.35,0.07,0.00,0.00,0.10,Public,,1.00
Ward Melville High School,East Setauket,New York,Suffolk,New York,40.916255,-73.074457,43,15,0.35,5,0.33,1688,1202,25,27,No,15477,142928,0.11,0.84,0.02,0.04,0.09,0.00,0.00,0.00,Public,,1.00
Ransom Everglades School,Miami,Florida,Miami-Dade,Miami,25.7227736,-80.244316,43,18,0.42,2,0.11,1084,1400,32,0,No,,,,0.50,0.05,0.38,0.05,0.00,0.00,0.02,Private Secular,,1.00
